verse num,verse id,num_manual_mappings,num_suggested_mappings,num_correct_mappings
571,40017016,10,9,2
572,40017017,22,16,2
573,40017018,17,13,3
574,40017019,13,13,1
575,40017020,29,22,1
576,40017022,16,12,0
577,40017023,11,9,3
578,40017024,19,17,4
579,40017025,32,25,3
580,40017026,12,11,1
581,40017027,29,27,4
582,40018001,17,15,2
583,40018002,8,6,1
584,40018003,20,18,4
585,40018004,16,12,2
586,40018005,11,9,1
587,40018006,25,20,0
588,40018007,20,16,1
589,40018008,38,26,5
590,40018009,30,23,4
591,40018010,23,21,1
592,40018012,25,22,1
593,40018013,20,15,0
594,40018014,15,10,1
595,40018015,21,17,1
596,40018016,21,17,1
597,40018017,21,13,1
598,40018018,22,20,1
599,40018019,24,20,1
600,40018020,15,10,1
601,40018021,17,15,2
602,40018022,12,9,2
603,40018023,16,14,0
604,40018024,10,10,0
605,40018025,20,14,0
606,40018026,14,11,2
607,40018027,13,13,0
608,40018028,22,20,0
609,40018029,13,10,2
610,40018030,14,10,0
611,40018031,16,14,3
612,40018032,17,15,0
613,40018033,11,7,0
614,40018034,12,10,1
615,40018035,16,16,2
616,40019001,19,18,3
617,40019002,9,6,2
618,40019003,16,13,2
619,40019004,16,12,3
620,40019005,20,14,3
621,40019006,14,12,0
622,40019007,12,9,1
623,40019008,17,16,2
624,40019009,15,12,0
625,40019010,17,12,2
626,40019011,12,11,1
627,40019012,31,24,4
628,40019013,15,12,1
629,40019014,20,16,4
630,40019015,6,4,2
631,40019016,14,10,1
632,40019017,21,17,1
633,40019018,14,14,4
634,40019019,10,9,4
635,40019020,10,9,2
636,40019021,23,21,3
637,40019022,12,10,0
638,40019023,17,13,0
639,40019024,18,13,1
640,40019025,10,7,1
641,40019026,15,13,1
642,40019027,16,11,2
643,40019028,34,28,4
644,40019029,26,20,4
645,40019030,8,5,0
646,40020001,18,16,2
647,40020002,13,10,0
648,40020003,12,10,1
649,40020004,15,11,2
650,40020005,11,10,0
651,40020006,18,14,0
652,40020007,14,11,0
653,40020008,25,20,6
654,40020009,10,6,1
655,40020010,14,12,2
656,40020011,6,5,0
657,40020012,20,17,6
658,40020013,14,13,0
659,40020014,14,12,1
660,40020015,16,14,1
661,40020016,9,7,1
662,40020017,16,14,3
663,40020018,17,13,0
664,40020019,16,13,0
665,40020020,17,13,2
666,40020021,26,21,1
667,40020022,19,13,1
668,40020023,24,21,0
669,40020024,9,7,0
670,40020025,18,12,1
671,40020026,15,11,1
672,40020027,10,8,2
673,40020028,16,13,2
674,40020029,9,7,3
675,40020030,19,14,1
676,40020031,17,9,0
677,40020032,11,10,1
678,40020033,7,4,0
679,40020034,12,9,0
680,40021001,19,14,1
681,40021002,20,16,1
682,40021003,17,12,1
683,40021004,10,6,0
684,40021005,18,18,2
685,40021006,10,8,1
686,40021007,15,14,6
687,40021008,22,16,3
688,40021009,22,19,1
689,40021010,13,12,2
690,40021011,13,11,3
691,40021012,29,21,6
692,40021013,15,10,1
693,40021014,12,11,7
694,40021015,25,17,2
695,40021016,22,18,1
696,40021017,12,9,2
697,40021018,7,5,0
698,40021019,34,25,4
699,40021020,11,9,1
700,40021021,32,24,1
701,40021022,9,8,1
702,40021023,28,21,3
703,40021024,22,12,0
704,40021025,27,20,2
705,40021026,14,10,0
706,40021027,19,15,1
707,40021028,19,16,1
708,40021029,10,8,0
709,40021030,15,10,0
710,40021031,30,21,4
711,40021032,28,19,1
712,40021033,27,20,5
713,40021034,17,12,0
714,40021035,14,14,0
715,40021036,11,8,1
716,40021037,11,8,0
717,40021038,20,13,1
718,40021039,9,6,3
719,40021040,11,8,1
720,40021041,20,16,1
721,40021042,27,24,5
722,40021043,17,14,2
723,40021044,13,10,1
724,40021045,14,10,0
725,40021046,12,8,1
726,40022001,9,9,3
727,40022002,12,9,0
728,40022003,14,12,3
729,40022004,25,19,2
730,40022005,13,11,0
731,40022006,9,8,2
732,40022007,15,13,2
733,40022008,16,12,3
734,40022009,12,11,1
735,40022010,20,18,3
736,40022011,14,12,2
737,40022012,14,13,4
738,40022013,26,18,2
